::ffff:127.0.0.1 - - [11/Dec/2022:13:26:58 +0000] "GET /api/user/get-all-users HTTP/1.1" 404 161 "-" "Thunder Client (https://www.thunderclient.com)"
::ffff:127.0.0.1 - - [11/Dec/2022:13:26:59 +0000] "GET /api/user/get-all-users HTTP/1.1" 404 161 "-" "Thunder Client (https://www.thunderclient.com)"
::ffff:127.0.0.1 - - [11/Dec/2022:13:26:59 +0000] "GET /api/user/get-all-users HTTP/1.1" 404 161 "-" "Thunder Client (https://www.thunderclient.com)"
::ffff:127.0.0.1 - - [11/Dec/2022:13:26:59 +0000] "GET /api/user/get-all-users HTTP/1.1" 404 161 "-" "Thunder Client (https://www.thunderclient.com)"
::ffff:127.0.0.1 - - [11/Dec/2022:13:27:23 +0000] "GET /api/user/getUsers HTTP/1.1" 404 156 "-" "Thunder Client (https://www.thunderclient.com)"
::ffff:127.0.0.1 - - [11/Dec/2022:13:27:23 +0000] "GET /api/user/getUsers HTTP/1.1" 404 156 "-" "Thunder Client (https://www.thunderclient.com)"
::ffff:127.0.0.1 - - [11/Dec/2022:13:32:27 +0000] "GET /api/user/getUsers HTTP/1.1" 404 156 "-" "Thunder Client (https://www.thunderclient.com)"
::ffff:127.0.0.1 - - [11/Dec/2022:13:32:28 +0000] "GET /api/user/getUsers HTTP/1.1" 404 156 "-" "Thunder Client (https://www.thunderclient.com)"
::1 - - [11/Dec/2022:13:43:54 +0000] "GET / HTTP/1.1" 404 139 "-" "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/108.0.0.0 Safari/537.36"
::ffff:127.0.0.1 - - [11/Dec/2022:13:44:07 +0000] "GET /api/user/getUsers HTTP/1.1" 404 156 "-" "Thunder Client (https://www.thunderclient.com)"
::ffff:127.0.0.1 - - [11/Dec/2022:13:44:08 +0000] "GET /api/user/getUsers HTTP/1.1" 404 156 "-" "Thunder Client (https://www.thunderclient.com)"
::ffff:127.0.0.1 - - [11/Dec/2022:13:44:26 +0000] "GET /api/user/getUsers HTTP/1.1" 404 156 "-" "Thunder Client (https://www.thunderclient.com)"
::1 - - [11/Dec/2022:13:44:34 +0000] "GET / HTTP/1.1" 404 139 "-" "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/108.0.0.0 Safari/537.36"
::1 - - [11/Dec/2022:13:44:35 +0000] "GET / HTTP/1.1" 404 139 "-" "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/108.0.0.0 Safari/537.36"
::1 - - [11/Dec/2022:13:44:36 +0000] "GET / HTTP/1.1" 404 139 "-" "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/108.0.0.0 Safari/537.36"
::ffff:127.0.0.1 - - [11/Dec/2022:13:44:39 +0000] "GET /api/user/getUsers HTTP/1.1" 404 156 "-" "Thunder Client (https://www.thunderclient.com)"
